date,candidate,model,baseline
2024-10-23,Donald Trump,47.87612394041399,48.56530278232407
2024-10-24,Donald Trump,48.13158843492194,46.891729323308276
2024-10-25,Donald Trump,47.44536555357139,45.982142857142854
2024-10-26,Donald Trump,47.101438937610894,48.12143526576516
2024-10-27,Donald Trump,46.76572171727277,46.65189504373178
2024-10-28,Donald Trump,46.85618135926324,47.57506493506494
2024-10-29,Donald Trump,47.679102672110595,47.68267532467532
2024-10-30,Donald Trump,47.81983785062009,48.94541541110633
2024-10-31,Donald Trump,47.88400140011073,48.18991596638656
2024-11-01,Donald Trump,47.804543164288155,48.563472449880216
2024-11-02,Donald Trump,47.52656510338473,47.349450549450545
2024-11-03,Donald Trump,47.5784475594472,48.8203371783496
2024-11-04,Donald Trump,47.69690906869488,47.413409703504044
2024-11-05,Donald Trump,47.47784900617201,49.78323097463284
2024-10-23,Kamala Harris,49.35750997007841,49.142553191489355
2024-10-24,Kamala Harris,48.343939959178556,48.72821052631579
2024-10-25,Kamala Harris,48.445353035105306,48.83035714285714
2024-10-26,Kamala Harris,48.73365813555346,49.48594189315838
2024-10-27,Kamala Harris,48.88611540364743,48.1530612244898
2024-10-28,Kamala Harris,48.69561815633319,48.71454545454546
2024-10-29,Kamala Harris,48.387511013299545,48.063428571428574
2024-10-30,Kamala Harris,48.5192231854882,48.13069306930693
2024-10-31,Kamala Harris,48.504061548218495,48.52848297213622
2024-11-01,Kamala Harris,48.467955012783484,48.34634867032503
2024-11-02,Kamala Harris,48.49409902512909,47.79807692307692
2024-11-03,Kamala Harris,48.480023223671026,47.89623100303952
2024-11-04,Kamala Harris,48.48331083987407,48.5377358490566
2024-11-05,Kamala Harris,48.44659252627895,47.837383177570096
